"days"
9.06
9.5
4
0.31
2.5
5
11
4
1.5
2
2.79
2.79
2.79
5.5
4
5.5
0.5
4
3.5
0.43
4.5
4.5
3
3.5
4.5
3.5
4
8
4.15
1.5
2.5
0.82
8.5
2.85
2.5
6.65
3
4
2.5
2.5
2
6.5
5
2.75
5.5
6
2.99
5
5.5
6.5
